delivery_id,postcode,delivery_score,compliance_status,delivery_date,delivery_status,parcel_type
D00001,EC1A 1BB,0.94,True,2024-06-25 10:35:56.503178032,Failed,Small Box
D00002,EC1A 1BB,0.93,True,2024-05-15 11:19:35.002453400,Pending,Large Box
D00003,W1D 2HP,0.31,False,2023-08-14 05:25:30.321087360,Pending,Small Box
D00004,E1 6AN,0.24,False,2024-03-22 15:37:24.967136576,Delivered,Medium Box
D00005,W1D 2HP,0.34,False,2024-03-21 21:24:10.324270008,Failed,Small Box
D00006,EC1A 1BB,0.62,True,2023-08-28 01:36:36.356113568,Pending,Small Box
D00007,W1D 2HP,0.83,True,2024-07-08 05:45:43.197177720,Pending,Small Box
D00008,SW1A 1AA,0.73,True,2023-01-11 22:46:31.578490549,Pending,Letter
D00009,SW1A 1AA,0.74,True,2025-03-30 02:51:17.150357520,Pending,Letter
D00010,WC2E 7HQ,0.6,True,2024-06-17 16:54:46.981481456,Failed,Small Box
D00011,SE1 7PB,0.18,False,2023-08-16 13:33:58.828445116,Pending,Large Box
D00012,NW1 8BF,0.96,True,2024-03-20 14:50:09.903647192,Pending,Medium Box
D00013,E1 6AN,0.68,True,2023-07-09 01:19:53.448387020,Failed,Letter
D00014,SW1A 1AA,0.58,True,2023-10-03 13:23:57.743128740,Failed,Letter
D00015,NW1 8BF,0.11,False,2023-08-27 02:21:59.076466588,Pending,Small Box
D00016,W1D 2HP,0.49,False,2024-11-19 13:10:37.577009144,Failed,Medium Box
D00017,E1 6AN,0.69,True,2024-05-23 04:13:21.329013768,Pending,Small Box
D00018,N1 2RY,0.04,False,2025-04-05 22:40:13.065286144,Pending,Medium Box
D00019,W1D 2HP,0.43,False,2024-08-22 23:58:49.360497944,Failed,Letter
D00020,NW1 8BF,0.31,False,2023-05-29 15:21:17.640989310,Pending,Large Box
D00021,NW1 8BF,0.32,False,2024-07-18 15:26:29.017826800,Delivered,Letter
D00022,NW1 8BF,0.5,True,2024-12-10 16:16:37.075870248,Failed,Medium Box
D00023,E1 6AN,0.77,True,2024-12-20 21:22:44.854460984,Pending,Letter
D00024,E1 6AN,0.59,True,2023-01-06 11:26:03.837681380,Delivered,Letter
D00025,EC1A 1BB,0.45,False,2025-03-11 03:45:11.232243288,Delivered,Medium Box
D00026,SE1 7PB,0.8,True,2023-06-05 09:12:19.698975306,Failed,Letter
D00027,W1D 2HP,0.98,True,2023-01-02 18:45:51.248019937,Delivered,Large Box
D00028,WC2E 7HQ,0.95,True,2023-02-10 13:05:48.824884839,Pending,Large Box
D00029,E1 6AN,1.0,True,2024-05-17 04:36:49.652391960,Delivered,Medium Box
D00030,E1 6AN,0.95,True,2025-01-19 03:29:16.368762200,Failed,Letter
D00031,NW1 8BF,0.69,True,2023-01-05 23:58:15.042604447,Delivered,Letter
D00032,WC2E 7HQ,0.29,False,2024-02-07 05:21:57.442329040,Delivered,Small Box
D00033,N1 2RY,0.84,True,2024-06-24 08:26:24.582408400,Failed,Medium Box
D00034,E1 6AN,0.21,False,2023-02-07 17:45:43.565210431,Failed,Letter
D00035,SE1 7PB,0.85,True,2024-02-18 16:42:13.370601996,Delivered,Medium Box
D00036,SE1 7PB,0.1,False,2025-05-01 01:31:38.824266432,Pending,Large Box
D00037,SE1 7PB,0.25,False,2023-12-24 01:22:40.910758524,Delivered,Large Box
D00038,SW1A 1AA,0.73,True,2025-02-23 18:58:13.728638408,Delivered,Medium Box
D00039,N1 2RY,0.4,False,2024-05-13 22:47:00.551831056,Failed,Medium Box
D00040,EC1A 1BB,0.84,True,2025-04-24 03:37:57.724164336,Failed,Small Box
D00041,WC2E 7HQ,0.9,True,2024-12-09 07:30:34.488591440,Failed,Medium Box
D00042,SW1A 1AA,0.55,True,2023-04-06 11:44:13.045889888,Delivered,Letter
D00043,NW1 8BF,0.48,False,2024-01-19 21:27:17.146118920,Failed,Large Box
D00044,N1 2RY,0.87,True,2023-08-14 18:23:32.190404472,Pending,Small Box
D00045,E1 6AN,0.99,True,2023-09-06 03:19:58.469001560,Failed,Large Box
D00046,NW1 8BF,0.22,False,2025-04-16 18:34:43.222543392,Failed,Large Box
D00047,SW1A 1AA,0.62,True,2024-06-25 10:14:44.440114584,Pending,Letter
D00048,SE1 7PB,0.01,False,2025-01-06 18:57:37.292136960,Pending,Letter
D00049,SE1 7PB,0.83,True,2025-01-03 09:31:53.681975800,Failed,Letter
D00050,W1D 2HP,0.1,False,2024-05-23 16:46:07.972776016,Failed,Letter
D00051,N1 2RY,0.53,True,2024-01-18 22:06:08.161480236,Failed,Medium Box
D00052,E1 6AN,0.41,False,2024-12-23 21:08:42.753903672,Pending,Small Box
D00053,N1 2RY,0.84,True,2023-05-28 03:39:18.259173212,Failed,Letter
D00054,SE1 7PB,0.29,False,2023-04-27 14:38:02.141120814,Pending,Large Box
D00055,EC1A 1BB,0.66,True,2025-05-10 21:00:26.145773776,Failed,Small Box
D00056,EC1A 1BB,0.71,True,2023-01-05 15:56:54.075431729,Delivered,Medium Box
D00057,NW1 8BF,0.69,True,2025-05-03 02:45:21.349281520,Failed,Small Box
D00058,SW1A 1AA,0.21,False,2024-03-05 20:13:03.231899112,Failed,Medium Box
D00059,SW1A 1AA,0.55,True,2024-10-28 14:47:58.981481008,Pending,Small Box
D00060,SE1 7PB,0.32,False,2024-09-29 13:04:14.472173632,Delivered,Letter
D00061,E1 6AN,0.18,False,2023-05-29 03:23:45.427970658,Failed,Small Box
D00062,N1 2RY,0.07,False,2023-11-22 09:31:52.540319212,Pending,Small Box
D00063,E1 6AN,0.51,True,2023-10-04 18:44:48.359604888,Failed,Small Box
D00064,EC1A 1BB,1.0,True,2023-01-27 17:31:47.738356681,Delivered,Medium Box
D00065,SE1 7PB,0.26,False,2025-01-30 07:46:00.357950352,Failed,Large Box
D00066,EC1A 1BB,0.19,False,2023-01-12 07:47:45.514906176,Pending,Large Box
D00067,WC2E 7HQ,0.4,False,2023-05-17 15:36:15.198729972,Delivered,Letter
D00068,NW1 8BF,0.1,False,2024-02-13 01:23:34.648331976,Pending,Large Box
