delivery_id,postcode,latitude,longitude,delivery_score,compliance_status,delivery_date,delivery_status,parcel_type
D00001,W5 4JJ,51.499591,-0.303774,0.53,True,2024-08-24 21:09:33,Pending,Medium Box
D00002,SW1A 1AA,51.501009,-0.141588,0.85,True,2024-05-08 18:10:04,Failed,Large Box
D00003,W1D 2HP,51.515666,-0.135284,0.89,True,2024-12-22 16:11:16,Pending,Small Box
D00004,W5 4JJ,51.499591,-0.303774,0.22,False,2023-08-09 00:31:42,Pending,Large Box
D00005,W7 2AE,51.499006,-0.329397,0.87,True,2024-11-16 14:35:02,Delivered,Large Box
D00006,N3 3HG,51.596078,-0.208168,0.75,True,2023-08-31 00:45:55,Failed,Small Box
D00007,NW6 7EH,51.543052,-0.2028,0.85,True,2023-03-30 21:39:54,Pending,Medium Box
D00008,NW11 6SR,51.581904,-0.187339,0.48,False,2025-02-04 11:40:04,Delivered,Large Box
D00009,NW1 8BF,51.542645,-0.146572,0.01,False,2023-11-12 03:35:14,Delivered,Letter
D00010,E1 6AN,51.518887,-0.078479,0.72,True,2025-03-15 02:56:15,Failed,Medium Box
D00011,EC1A 1BB,51.524565,-0.112042,0.31,False,2023-08-03 21:57:01,Delivered,Large Box
D00012,W3 6YJ,51.517102,-0.259135,0.12,False,2025-03-20 18:24:56,Failed,Small Box
D00013,W7 2AE,51.499006,-0.329397,0.11,False,2024-10-24 14:30:11,Delivered,Medium Box
D00014,W1D 2HP,51.515666,-0.135284,0.39,False,2025-02-20 09:18:54,Delivered,Medium Box
D00015,SW1A 1AA,51.501009,-0.141588,0.11,False,2023-02-21 05:32:20,Delivered,Medium Box
D00016,E1 6AN,51.518887,-0.078479,0.4,False,2023-08-30 10:15:23,Pending,Letter
D00017,N1 2RY,51.537499,-0.102178,0.02,False,2024-07-29 11:55:27,Delivered,Medium Box
D00018,N1 2RY,51.537499,-0.102178,0.42,False,2024-12-22 19:46:02,Pending,Letter
D00019,SW1A 1AA,51.501009,-0.141588,0.02,False,2023-11-21 18:23:46,Failed,Large Box
D00020,SW1A 1AA,51.501009,-0.141588,0.14,False,2023-11-07 08:43:30,Failed,Letter
D00021,N1 2RY,51.537499,-0.102178,0.73,True,2024-10-27 14:47:34,Failed,Letter
D00022,NW5 1PL,51.558613,-0.1483,0.2,False,2023-01-27 11:49:22,Failed,Small Box
D00023,W1D 2HP,51.515666,-0.135284,0.81,True,2024-01-18 09:57:23,Failed,Medium Box
D00024,W1D 2HP,51.515666,-0.135284,0.18,False,2024-07-12 22:01:37,Pending,Large Box
D00025,W3 6YJ,51.517102,-0.259135,0.97,True,2024-05-10 01:54:28,Pending,Letter
D00026,SE1 7PB,51.5025,-0.119384,0.37,False,2024-09-02 20:46:57,Delivered,Medium Box
D00027,W7 2AE,51.499006,-0.329397,0.34,False,2024-05-18 17:22:37,Failed,Letter
D00028,N1 2RY,51.537499,-0.102178,0.11,False,2023-12-17 22:57:50,Delivered,Small Box
D00029,W3 6YJ,51.517102,-0.259135,0.52,True,2024-09-22 13:25:55,Delivered,Letter
D00030,W5 4JJ,51.499591,-0.303774,0.79,True,2023-10-11 13:25:39,Delivered,Small Box
D00031,E1 6AN,51.518887,-0.078479,0.6,True,2025-04-01 06:05:04,Delivered,Small Box
D00032,EC1A 1BB,51.524565,-0.112042,0.62,True,2024-02-23 03:52:21,Pending,Letter
D00033,SE1 7PB,51.5025,-0.119384,0.8,True,2024-06-30 02:48:31,Failed,Medium Box
