delivery_id,postcode,delivery_score,compliance_status,delivery_date,delivery_status,parcel_type
D00001,SS5 6MM,0.12,False,2024-09-19 06:27:26,Pending,Medium Box
D00002,RO2 9IJ,0.83,True,2023-07-30 22:13:41,Delivered,Letter
D00003,GX2 7XL,0.33,False,2025-03-30 08:17:43,Failed,Medium Box
D00004,OM9 0JT,0.84,True,2025-02-15 07:07:48,Delivered,Letter
D00005,WR1 5TM,0.86,True,2025-04-15 02:56:44,Pending,Small Box
D00006,VN5 1XN,0.95,True,2024-03-04 20:31:08,Delivered,Large Box
D00007,HA9 2MZ,0.57,True,2024-11-11 12:18:43,Delivered,Small Box
D00008,BQ2 9JQ,0.63,True,2024-10-27 09:48:12,Failed,Letter
D00009,YN9 5ZN,0.59,True,2024-11-12 04:00:58,Delivered,Medium Box
D00010,SF1 7RM,0.05,False,2024-12-03 20:45:54,Pending,Large Box
D00011,BH8 2KQ,0.87,True,2024-04-02 11:03:48,Pending,Large Box
D00012,SD8 1BS,0.53,True,2024-01-17 19:22:33,Failed,Letter
D00013,FA2 0UA,0.37,False,2024-03-27 09:39:44,Failed,Letter
D00014,ZH4 3BP,0.62,True,2023-01-08 11:28:08,Pending,Large Box
D00015,JQ9 1KG,0.25,False,2024-09-08 05:45:49,Failed,Large Box
D00016,VE1 4EY,0.61,True,2023-01-08 16:25:20,Pending,Medium Box
D00017,GP5 9AR,0.99,True,2025-03-12 14:09:03,Failed,Large Box
D00018,AJ8 2EN,0.31,False,2024-06-06 02:48:31,Failed,Letter
D00019,QM5 6KX,0.9,True,2023-09-15 14:06:05,Pending,Letter
D00020,HJ6 2DU,0.7,True,2023-02-18 17:33:58,Failed,Small Box
D00021,OZ1 8JT,0.68,True,2025-04-26 11:42:33,Pending,Small Box
D00022,UC6 8ZZ,0.92,True,2024-10-23 13:18:36,Pending,Letter
D00023,VF6 0TE,0.74,True,2024-04-19 18:32:55,Delivered,Medium Box
D00024,IA7 3YV,0.62,True,2024-11-07 00:28:59,Delivered,Letter
D00025,TF4 7YY,0.21,False,2023-12-22 12:14:09,Failed,Medium Box
D00026,HT4 7PW,0.74,True,2025-03-10 15:47:19,Pending,Medium Box
D00027,VJ5 0UQ,0.49,False,2024-05-19 06:29:34,Delivered,Letter
D00028,OY7 7YW,0.45,False,2025-04-28 00:49:54,Delivered,Medium Box
D00029,VK7 5RN,0.81,True,2025-03-08 19:20:30,Delivered,Letter
D00030,AJ6 4FS,0.82,True,2023-06-03 00:13:49,Delivered,Large Box
D00031,HA9 5FZ,0.2,False,2023-07-13 23:44:23,Failed,Letter
D00032,DE4 1IX,0.05,False,2025-03-11 16:20:29,Pending,Letter
D00033,IA8 0HM,0.56,True,2023-03-11 15:36:34,Delivered,Medium Box
D00034,SK6 4CN,0.34,False,2023-07-29 10:53:23,Pending,Letter
D00035,NH3 7UV,0.62,True,2025-05-23 16:15:53,Delivered,Large Box
D00036,PI6 5SR,0.99,True,2024-05-19 03:14:14,Pending,Medium Box
D00037,ZU3 6HN,0.23,False,2024-03-09 10:32:43,Pending,Letter
D00038,UV4 1TU,0.56,True,2023-07-24 14:52:12,Failed,Small Box
D00039,GV6 0DJ,0.37,False,2023-11-03 08:06:20,Failed,Small Box
D00040,DE7 8EK,0.99,True,2024-10-27 05:14:53,Failed,Small Box
